Hours	De-Aar	Pretoria	Springbok	Upington
1113	836	750	892	873
1114	836	749	891	872
1115	836	749	891	872
1116	836	749	890	872
1117	835	748	890	872
1118	835	748	889	872
1119	835	748	889	871
1120	835	748	889	871
1121	835	747	889	871
1122	835	747	889	871
1123	834	747	888	871
1124	834	747	888	871
1125	834	746	888	871
1126	834	746	888	870
1127	834	745	887	870
1128	834	745	886	870
1129	834	745	886	869
1130	834	745	886	869
1131	833	745	886	869
1132	833	744	886	869
1133	833	744	886	869
1134	833	744	886	869
1135	832	744	886	869
1136	832	744	885	869
1137	832	744	885	869
1138	832	744	884	868
1139	832	743	884	868
1140	832	743	884	868
1141	832	743	884	868
1142	831	743	884	868
1143	831	743	884	867
1144	831	742	884	867
1145	831	742	883	867
1146	831	742	883	867
1147	831	742	883	867
1148	830	742	882	867
1149	830	741	882	867
1150	830	741	882	866
1151	830	741	881	866
1152	830	741	881	866
1153	830	741	881	866
1154	830	741	880	866
1155	829	741	880	866
1156	829	740	880	866
1157	829	740	879	865
1158	829	740	879	865
1159	829	740	879	865
1160	829	740	879	865
1161	828	740	879	865
1162	828	740	879	865
1163	828	740	879	864
1164	828	739	879	864
1165	828	739	878	864
1166	828	739	878	864
1167	828	739	878	864
1168	828	739	878	864
1169	828	738	877	863
1170	827	738	877	863
1171	827	738	877	863
1172	827	738	877	863
1173	827	738	876	863
1174	826	738	876	863
1175	826	738	876	863
1176	826	738	876	863
1177	825	738	875	863
1178	825	738	875	862
1179	825	737	875	861
1180	825	737	875	861
1181	825	737	875	861
1182	824	737	875	861
1183	824	737	875	861
1184	824	736	874	861
1185	824	736	874	860
1186	824	736	874	860
1187	823	735	874	860
1188	823	735	874	860
1189	823	735	873	860
1190	823	735	873	860
1191	823	735	873	860
1192	823	734	873	860
1193	822	734	873	859
1194	822	734	873	859
1195	822	734	873	858
1196	822	734	873	858
1197	822	734	873	858
1198	821	734	873	858
1199	821	734	872	857
1200	820	734	872	857
1201	820	733	872	857
1202	820	733	872	857
1203	820	733	872	857
1204	820	733	871	857
1205	820	733	871	857
1206	819	733	871	856
